,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
275104,463,4,2014-11-20,5201,971,1,0,0,0
140262,888,6,2015-03-28,9269,822,1,0,0,0
836326,862,3,2013-06-12,7540,1145,1,0,0,0
427986,612,5,2014-06-13,6120,383,1,0,0,1
951401,1092,5,2013-03-01,11159,1106,1,0,0,0
265554,234,7,2014-11-30,0,0,0,0,0,0
734799,800,3,2013-09-11,6117,528,1,1,0,0
621174,905,7,2013-12-22,0,0,0,0,0,0
373775,1057,4,2014-08-07,7213,700,1,1,0,1
641072,733,3,2013-12-04,19208,3911,1,1,0,0
57579,715,3,2015-06-10,6244,693,1,0,0,0
391156,597,6,2014-07-19,4211,608,1,0,0,0
818479,855,5,2013-06-28,5937,654,1,0,0,0
349850,398,1,2014-09-01,8421,834,1,1,0,0
910610,441,6,2013-04-06,6030,746,1,0,0,0
819185,446,4,2013-06-27,3924,578,1,0,0,0
2120,1006,4,2015-07-30,8441,979,1,1,0,1
241040,1097,6,2014-12-27,7391,1685,1,0,0,0
659489,195,7,2013-11-17,0,0,0,0,0,0
971909,415,7,2013-02-10,0,0,0,0,0,0
231225,421,1,2015-01-05,10668,1118,1,1,0,1
409157,738,1,2014-06-30,12005,880,1,1,0,0
1003504,790,7,2013-01-13,0,0,0,0,0,0
973628,1019,6,2013-02-09,8868,760,1,0,0,0
219936,282,4,2015-01-15,4297,619,1,1,0,0
587996,62,1,2014-01-20,9311,934,1,1,0,0
706716,592,7,2013-10-06,0,0,0,0,0,0
492752,708,3,2014-04-16,6060,677,1,1,0,0
315894,47,2,2014-10-07,8359,995,1,1,0,0
693306,562,5,2013-10-18,16770,3331,1,0,0,1
187079,875,6,2015-02-14,4067,427,1,0,0,0
867291,607,3,2013-05-15,4675,482,1,1,0,0
18385,546,3,2015-07-15,16174,1863,1,1,0,0
231494,690,1,2015-01-05,7693,993,1,1,0,1
478384,835,2,2014-04-29,6099,687,1,1,0,0
805193,949,3,2013-07-10,4562,511,1,0,0,1
865149,695,5,2013-05-17,6396,611,1,1,0,0
503193,1114,1,2014-04-07,18922,3162,1,0,0,0
253813,728,6,2014-12-13,5791,480,1,0,0,0
417608,269,7,2014-06-22,0,0,0,0,0,0
827690,31,3,2013-06-19,5898,550,1,1,0,0
664966,97,2,2013-11-12,5376,631,1,0,0,0
341025,1028,4,2014-09-11,3585,437,1,0,0,0
875196,707,3,2013-05-08,8777,1047,1,0,0,0
138830,571,7,2015-03-29,0,0,0,0,0,0
287513,774,5,2014-11-07,6192,794,1,1,0,0
286467,639,6,2014-11-08,2851,298,1,0,0,0
474260,56,5,2014-05-02,10702,726,1,1,0,0
144514,680,2,2015-03-24,3573,588,1,0,0,0
952559,20,3,2013-02-27,6918,753,1,0,0,0
803457,328,4,2013-07-11,4387,542,1,0,0,0
202938,9,5,2015-01-30,8072,643,1,1,0,0
353809,665,4,2014-08-28,6475,1116,1,0,0,1
183345,486,2,2015-02-17,5492,564,1,1,0,0
813529,365,2,2013-07-02,7133,662,1,1,0,0
356009,1055,2,2014-08-26,6031,880,1,0,0,0
866190,621,4,2013-05-16,5695,757,1,1,0,0
717462,188,4,2013-09-26,4361,410,1,1,0,0
286117,226,6,2014-11-08,6037,539,1,0,0,0
792806,827,7,2013-07-21,0,0,0,0,0,0
32701,367,4,2015-07-02,6021,603,1,1,0,0
883252,958,3,2013-05-01,0,0,0,1,a,0
1011497,978,7,2013-01-06,0,0,0,0,0,0
809038,334,6,2013-07-06,4676,507,1,0,0,0
552662,408,5,2014-02-21,5081,499,1,1,0,0
283529,474,2,2014-11-11,8493,791,1,1,0,0
157722,508,4,2015-03-12,5747,630,1,0,0,0
131825,256,6,2015-04-04,11452,1422,1,0,0,0
747653,274,5,2013-08-30,4227,1059,1,1,0,0
748160,781,5,2013-08-30,5841,764,1,1,0,0
201596,897,7,2015-02-01,0,0,0,0,0,0
1000283,914,3,2013-01-16,6702,960,1,0,0,0
209821,202,6,2015-01-24,5979,542,1,0,0,0
37129,335,7,2015-06-28,8930,1448,1,0,0,0
141822,218,4,2015-03-26,4581,698,1,0,0,0
274365,704,5,2014-11-21,10370,1110,1,0,0,0
280984,792,5,2014-11-14,8315,769,1,1,0,0
576273,604,5,2014-01-31,8365,617,1,0,0,0
986439,450,1,2013-01-28,6255,851,1,0,0,0
767765,316,1,2013-08-12,14448,1252,1,1,0,1
82008,614,2,2015-05-19,7507,972,1,1,0,0
879104,155,6,2013-05-04,7681,740,1,0,0,0
722836,1102,7,2013-09-22,0,0,0,0,0,0
675100,196,7,2013-11-03,0,0,0,0,0,0
163456,667,6,2015-03-07,7288,706,1,0,0,0
167689,440,2,2015-03-03,6392,671,1,1,0,0
872719,460,5,2013-05-10,4176,460,1,0,0,1
958910,796,5,2013-02-22,6576,644,1,1,0,0
131636,67,6,2015-04-04,8090,773,1,0,0,0
650423,49,1,2013-11-25,7214,522,1,0,0,0
691747,118,6,2013-10-19,6762,662,1,0,0,0
106825,901,1,2015-04-27,11054,861,1,1,0,0
704108,214,2,2013-10-08,10259,759,1,1,0,0
689880,481,1,2013-10-21,5310,482,1,1,0,1
829566,792,2,2013-06-18,8071,714,1,1,0,0
406216,726,4,2014-07-03,11765,1162,1,1,0,0
936278,464,4,2013-03-14,7570,1063,1,0,0,0
538306,547,4,2014-03-06,6118,446,1,1,0,1
639828,604,4,2013-12-05,10455,745,1,1,0,0
298236,182,7,2014-10-26,0,0,0,0,0,1
413793,914,4,2014-06-26,7287,973,1,0,0,0
404409,798,6,2014-07-05,2928,352,1,0,0,0
978532,348,1,2013-02-04,10291,801,1,1,0,0
140403,1029,6,2015-03-28,1789,223,1,0,0,0
196674,435,4,2015-02-05,3235,357,1,1,0,0
577175,391,4,2014-01-30,5410,668,1,0,0,0
833085,966,6,2013-06-15,3224,428,1,0,0,0
661082,673,6,2013-11-16,6518,552,1,0,0,0
176177,8,1,2015-02-23,4977,694,1,0,0,0
362853,304,1,2014-08-18,7909,1010,1,1,0,1
817842,218,5,2013-06-28,4940,720,1,0,0,0
861875,766,1,2013-05-20,0,0,0,0,a,0
794809,600,5,2013-07-19,7826,703,1,1,0,1
27131,372,2,2015-07-07,6976,602,1,0,0,1
451374,585,5,2014-05-23,4562,761,1,1,0,0
360013,260,4,2014-08-21,6508,957,1,1,0,1
900276,142,1,2013-04-15,3972,541,1,0,0,0
203511,582,5,2015-01-30,7772,950,1,1,0,0
956479,595,7,2013-02-24,0,0,0,0,0,0
267045,892,6,2014-11-29,4108,387,1,0,0,0
4999,540,1,2015-07-27,11297,640,1,1,0,0
665645,776,2,2013-11-12,3312,426,1,0,0,0
585199,610,4,2014-01-23,3899,507,1,1,0,0
855748,214,6,2013-05-25,8858,804,1,0,0,0
489247,548,6,2014-04-19,4848,456,1,0,0,1
833806,572,5,2013-06-14,6214,543,1,0,0,0
509044,275,2,2014-04-01,9039,862,1,1,0,0
413602,723,4,2014-06-26,5071,441,1,0,0,0
737013,784,1,2013-09-09,11840,1153,1,1,0,0
425704,560,7,2014-06-15,0,0,0,0,0,0
683252,543,7,2013-10-27,0,0,0,0,0,0
926828,1049,6,2013-03-23,2882,517,1,0,0,0
456759,395,7,2014-05-18,0,0,0,0,0,0
404825,180,5,2014-07-04,6858,813,1,1,0,0
865551,1097,5,2013-05-17,10428,2816,1,1,0,0
722010,276,7,2013-09-22,0,0,0,0,0,0
920782,578,4,2013-03-28,12788,1119,1,1,0,1
789729,1095,3,2013-07-24,3747,591,1,0,0,1
118297,108,4,2015-04-16,13486,936,1,1,0,0
719591,87,2,2013-09-24,5521,715,1,1,0,0
786919,515,5,2013-07-26,8575,729,1,0,0,1
747515,136,5,2013-08-30,5975,476,1,1,0,1
599150,66,5,2014-01-10,6790,551,1,1,0,0
992874,195,2,2013-01-22,12175,1471,1,1,0,0
508716,1062,3,2014-04-02,7192,613,1,1,0,0
1015158,179,3,2013-01-02,6495,946,1,0,0,1
92934,390,6,2015-05-09,11080,1059,1,0,0,0
891096,997,3,2013-04-24,4727,374,1,1,0,0
288679,1044,4,2014-11-06,7074,919,1,1,0,0
181368,739,4,2015-02-19,9324,780,1,1,0,1
755523,339,5,2013-08-23,4564,679,1,0,0,0
491181,252,4,2014-04-17,12313,995,1,1,0,1
470275,531,2,2014-05-06,5235,669,1,1,0,0
606748,974,6,2014-01-04,10145,1366,1,0,0,0
319578,1095,6,2014-10-04,4111,664,1,0,0,0
943443,939,5,2013-03-08,6261,627,1,1,0,0
729945,406,7,2013-09-15,0,0,0,0,0,0
552389,135,5,2014-02-21,6202,581,1,1,0,0
618204,165,2,2013-12-24,3277,390,1,0,0,1
574022,583,7,2014-02-02,0,0,0,0,0,0
859944,1065,3,2013-05-22,4147,477,1,0,0,1
1010538,19,7,2013-01-06,0,0,0,0,0,0
830635,746,1,2013-06-17,6793,530,1,1,0,0
64479,925,4,2015-06-04,0,0,0,1,a,1
24720,191,4,2015-07-09,5404,619,1,0,0,0
854232,928,1,2013-05-27,11026,892,1,1,0,0
947116,152,1,2013-03-04,9727,851,1,1,0,0
757039,740,4,2013-08-22,4470,395,1,0,0,0
645569,770,6,2013-11-30,5779,646,1,0,0,0
664074,320,3,2013-11-13,12056,1904,1,0,0,0
523840,576,3,2014-03-19,7190,916,1,1,0,0
249135,725,4,2014-12-18,10003,861,1,1,0,0
686871,817,4,2013-10-24,22774,3429,1,1,0,0
782803,859,2,2013-07-30,8956,825,1,1,0,0
520017,98,6,2014-03-22,4298,426,1,0,0,0
1012116,482,6,2013-01-05,9750,1193,1,0,0,0
542435,216,7,2014-03-02,0,0,0,0,0,0
928469,460,4,2013-03-21,3942,339,1,1,0,0
271771,955,1,2014-11-24,7129,606,1,1,0,0
526326,832,1,2014-03-17,9363,693,1,1,0,0
815263,984,1,2013-07-01,7748,816,1,1,0,0
206698,424,2,2015-01-27,7192,824,1,1,0,0
150687,163,3,2015-03-18,6728,854,1,1,0,0
3736,392,2,2015-07-28,8083,753,1,1,0,1
28439,565,1,2015-07-06,6253,771,1,0,0,1
930802,563,2,2013-03-19,5747,702,1,1,0,0
397974,930,6,2014-07-12,7353,1195,1,0,0,0
247964,437,5,2014-12-19,14001,1185,1,1,0,0
127702,593,3,2015-04-08,8787,1176,1,0,0,1
696733,644,2,2013-10-15,6204,813,1,0,0,0
122742,93,7,2015-04-12,0,0,0,0,0,0
930490,251,2,2013-03-19,22473,2589,1,1,0,0
681577,1098,2,2013-10-29,4645,699,1,0,0,1
978663,479,1,2013-02-04,14680,1527,1,1,0,1
1016980,886,2,2013-01-01,0,0,0,0,a,1
71132,888,5,2015-05-29,11992,905,1,0,0,0
103676,1097,4,2015-04-30,14221,3042,1,1,0,0
781526,697,3,2013-07-31,14583,1164,1,1,0,1
770997,203,5,2013-08-09,5128,697,1,0,0,1
134194,395,4,2015-04-02,6040,752,1,1,0,1
352810,585,5,2014-08-29,6891,949,1,0,0,0
845713,214,1,2013-06-03,12629,855,1,1,0,0
342936,1075,2,2014-09-09,10822,1049,1,0,0,0
709992,523,4,2013-10-03,0,0,0,0,a,1
965369,565,6,2013-02-16,4675,680,1,0,0,0
317256,558,1,2014-10-06,3938,512,1,1,0,0
770223,544,6,2013-08-10,9328,1330,1,0,0,0
577836,1052,4,2014-01-30,6517,685,1,0,0,0
556194,595,2,2014-02-18,15445,1729,1,1,0,0
943489,985,5,2013-03-08,7604,756,1,1,0,0
208641,137,7,2015-01-25,0,0,0,0,0,0
89924,725,2,2015-05-12,5489,556,1,0,0,0
297811,789,1,2014-10-27,3332,460,1,0,0,1
221558,789,3,2015-01-14,2933,420,1,1,0,0
41236,1097,4,2015-06-25,9733,2564,1,0,0,0
104687,993,3,2015-04-29,9039,789,1,1,0,0
606786,1012,6,2014-01-04,7023,621,1,0,0,0
686900,846,4,2013-10-24,8993,786,1,1,0,1
237569,311,2,2014-12-30,7805,743,1,0,0,1
766269,1050,3,2013-08-14,8226,548,1,1,0,1
666868,884,1,2013-11-11,4125,412,1,0,0,0
685641,702,5,2013-10-25,5404,398,1,1,0,0
962513,1054,2,2013-02-19,6786,690,1,1,0,0
191943,164,1,2015-02-09,5760,660,1,0,0,0
648439,295,3,2013-11-27,5107,650,1,0,0,0
130072,733,1,2015-04-06,17112,3260,1,0,b,1
151402,878,3,2015-03-18,8519,807,1,1,0,0
309723,491,2,2014-10-14,4705,422,1,0,0,0
938831,787,2,2013-03-12,8135,923,1,0,0,0
185012,1038,1,2015-02-16,7665,635,1,1,0,1
27179,420,2,2015-07-07,3763,404,1,0,0,0
495509,120,7,2014-04-13,0,0,0,0,0,0
670136,807,5,2013-11-08,9977,998,1,1,0,0
355644,621,2,2014-08-26,3691,615,1,0,0,0
969968,704,2,2013-02-12,8617,1027,1,0,0,0
731085,431,6,2013-09-14,7687,890,1,0,0,0
705687,678,1,2013-10-07,12291,1033,1,1,0,0
725395,316,4,2013-09-19,7488,753,1,0,0,0
624951,222,3,2013-12-18,7070,693,1,1,0,0
907724,900,2,2013-04-09,6535,598,1,1,0,0
555933,334,2,2014-02-18,5302,533,1,1,0,0
680977,498,2,2013-10-29,6324,855,1,0,0,1
346125,417,5,2014-09-05,8313,805,1,1,0,0
323870,642,1,2014-09-29,3902,494,1,1,0,0
909867,813,7,2013-04-07,0,0,0,0,0,0
40456,317,4,2015-06-25,4174,477,1,0,0,0
117129,55,5,2015-04-17,5858,684,1,1,0,0
51370,81,1,2015-06-15,8086,568,1,1,0,0
737624,280,7,2013-09-08,0,0,0,0,0,0
929199,75,3,2013-03-20,4921,512,1,1,0,0
702168,504,4,2013-10-10,6666,1005,1,1,0,1
139070,811,7,2015-03-29,0,0,0,0,0,0
161530,971,1,2015-03-09,5570,801,1,0,0,0
987661,557,7,2013-01-27,0,0,0,0,0,0
32730,396,4,2015-07-02,13115,1333,1,1,0,0
679808,444,3,2013-10-30,13060,1632,1,0,0,1
63235,796,5,2015-06-05,9982,824,1,1,0,0
645490,691,6,2013-11-30,9934,707,1,0,0,0
272689,936,7,2014-11-23,0,0,0,0,0,0
433558,609,7,2014-06-08,0,0,0,0,0,0
417728,389,7,2014-06-22,0,0,0,0,0,0
111560,61,3,2015-04-22,3403,437,1,0,0,0
210867,133,5,2015-01-23,4604,610,1,0,0,0
856569,1035,6,2013-05-25,1722,247,1,0,0,0
891833,619,2,2013-04-23,5405,512,1,1,0,0
897260,471,4,2013-04-18,5270,500,1,0,0,0
877065,346,1,2013-05-06,6286,618,1,0,0,0
33905,456,3,2015-07-01,7118,952,1,1,0,1
70265,21,5,2015-05-29,5004,454,1,0,0,1
474413,209,5,2014-05-02,9920,922,1,1,0,1
877186,467,1,2013-05-06,12339,1624,1,0,0,0
823143,1059,1,2013-06-24,7011,1045,1,0,0,1
523813,549,3,2014-03-19,4705,558,1,1,0,0
876308,704,2,2013-05-07,9550,1091,1,0,0,0
172418,709,5,2015-02-27,10243,1328,1,0,0,0
60658,449,7,2015-06-07,0,0,0,0,0,0
85757,1018,6,2015-05-16,10717,1254,1,0,0,0
448463,1019,1,2014-05-26,8409,742,1,0,0,0
354665,567,3,2014-08-27,3666,570,1,0,0,0
585770,66,3,2014-01-22,5848,473,1,1,0,0
601149,950,4,2014-01-09,6577,637,1,1,0,0
879610,661,6,2013-05-04,7577,614,1,0,0,0
761450,691,7,2013-08-18,0,0,0,0,0,0
47180,351,5,2015-06-19,6716,554,1,1,0,0
11442,293,2,2015-07-21,4456,681,1,0,0,1
927926,1032,5,2013-03-22,10392,1118,1,1,0,0
729412,988,1,2013-09-16,3634,678,1,0,0,0
515253,909,4,2014-03-27,7545,841,1,0,0,0
213929,965,3,2015-01-21,6309,721,1,0,0,0
398131,1112,6,2014-07-12,7011,669,1,0,0,0
886475,836,7,2013-04-28,0,0,0,0,0,0
607712,823,5,2014-01-03,5272,584,1,0,0,1
844551,167,2,2013-06-04,11062,1284,1,1,0,0
86252,398,5,2015-05-15,5308,669,1,0,0,1
540175,186,2,2014-03-04,3689,380,1,1,0,1
858317,553,4,2013-05-23,5248,511,1,0,0,1
830191,302,1,2013-06-17,4162,333,1,1,0,0
337768,484,7,2014-09-14,0,0,0,0,0,0
495357,1083,1,2014-04-14,7771,464,1,1,0,1
393387,1030,4,2014-07-17,4424,413,1,1,0,0
121316,897,2,2015-04-14,3103,311,1,1,0,0
222601,717,2,2015-01-13,7022,660,1,1,0,0
19388,434,2,2015-07-14,10530,701,1,1,0,0
164275,371,5,2015-03-06,6639,531,1,1,0,0
21413,229,7,2015-07-12,0,0,0,0,0,0
123883,119,6,2015-04-11,4533,511,1,0,0,0
664133,379,3,2013-11-13,3017,428,1,0,0,0
875623,19,2,2013-05-07,5934,640,1,0,0,0
810771,952,5,2013-07-05,7695,658,1,1,0,0
494157,998,2,2014-04-15,5569,632,1,1,0,1
549585,676,1,2014-02-24,6347,1577,1,0,0,0
72117,758,4,2015-05-28,4479,597,1,0,0,1
571897,688,2,2014-02-04,4651,439,1,1,0,1
628229,155,7,2013-12-15,0,0,0,0,0,0
103257,678,4,2015-04-30,14278,1402,1,1,0,0
527520,911,7,2014-03-16,0,0,0,0,0,0
462312,373,2,2014-05-13,3617,262,1,0,0,0
151213,689,3,2015-03-18,6625,654,1,1,0,0
414972,978,3,2014-06-25,5324,833,1,0,0,0
73652,63,2,2015-05-26,5933,618,1,0,0,0
201890,76,6,2015-01-31,7848,815,1,0,0,0
448399,955,1,2014-05-26,3871,428,1,0,0,0
464607,438,7,2014-05-11,0,0,0,0,0,0
951319,1010,5,2013-03-01,7588,750,1,0,0,0
980745,331,6,2013-02-02,4885,659,1,0,0,0
971485,1106,1,2013-02-11,4706,651,1,0,0,0
890104,5,3,2013-04-24,5076,708,1,1,0,0
684464,640,6,2013-10-26,9086,791,1,0,0,0
988491,272,6,2013-01-26,2739,313,1,0,0,0
120371,1067,3,2015-04-15,6346,511,1,1,0,0
556755,41,1,2014-02-17,8421,568,1,1,0,0
729127,703,1,2013-09-16,2752,337,1,0,0,0
1005848,904,5,2013-01-11,6902,571,1,1,0,0
7351,662,6,2015-07-25,5530,576,1,0,0,1
203089,160,5,2015-01-30,7009,611,1,1,0,0
79905,741,4,2015-05-21,7995,988,1,1,0,0
369900,898,1,2014-08-11,5360,689,1,0,0,1
426631,372,6,2014-06-14,8507,757,1,0,0,0
293597,226,5,2014-10-31,6712,671,1,0,0,1
212823,974,4,2015-01-22,9985,1479,1,0,0,0
717159,1000,5,2013-09-27,7677,762,1,1,0,0
395032,767,2,2014-07-15,7612,710,1,1,0,1
511404,405,7,2014-03-30,0,0,0,0,0,0
396662,472,7,2014-07-13,0,0,0,0,0,0
415582,473,2,2014-06-24,2703,416,1,0,0,0
683791,1082,7,2013-10-27,0,0,0,0,0,0
61487,163,6,2015-06-06,6146,673,1,0,0,0
337606,302,7,2014-09-14,0,0,0,0,0,0
763806,817,5,2013-08-16,23244,3633,1,1,0,0
904502,1023,5,2013-04-12,6526,680,1,1,0,0
790097,348,2,2013-07-23,0,0,0,0,0,0
398561,508,5,2014-07-11,6761,707,1,0,0,1
277178,717,2,2014-11-18,3894,473,1,0,0,0
939580,421,1,2013-03-11,7215,890,1,0,0,0
441235,481,7,2014-06-01,0,0,0,0,0,0
807783,194,7,2013-07-07,0,0,0,0,0,0
525022,643,2,2014-03-18,8948,1113,1,1,0,0
29999,1010,7,2015-07-05,0,0,0,0,0,0
540990,1001,2,2014-03-04,7517,786,1,1,0,0
704735,841,2,2013-10-08,3936,483,1,1,0,0
194888,879,6,2015-02-07,3797,371,1,0,0,0
527809,85,6,2014-03-15,5304,774,1,0,0,0
716994,835,5,2013-09-27,5289,714,1,1,0,0
703278,499,3,2013-10-09,5266,710,1,1,0,0
271761,944,1,2014-11-24,10129,1405,1,1,0,0
997839,700,5,2013-01-18,2736,405,1,0,0,0
287893,105,4,2014-11-06,5880,703,1,1,0,0
854926,507,7,2013-05-26,0,0,0,0,0,0
511004,5,7,2014-03-30,0,0,0,0,0,0
999345,1091,4,2013-01-17,5896,569,1,0,0,0
56535,786,4,2015-06-11,3169,536,1,0,0,0
705623,614,1,2013-10-07,9036,1137,1,1,0,0
188684,250,4,2015-02-12,6223,533,1,0,0,0
299562,645,6,2014-10-25,8461,1186,1,0,0,0
865337,883,5,2013-05-17,5599,558,1,1,0,0
273886,126,5,2014-11-21,4366,446,1,0,0,0
505132,823,6,2014-04-05,3987,408,1,0,0,0
733556,672,4,2013-09-12,8725,1368,1,1,0,0
172794,1085,5,2015-02-27,6839,704,1,0,0,0
414710,716,3,2014-06-25,4862,410,1,0,0,0
930396,157,2,2013-03-19,11564,1088,1,1,0,0
554400,1031,4,2014-02-20,4477,396,1,1,0,0
267754,621,5,2014-11-28,8663,1067,1,1,0,0
74169,580,2,2015-05-26,9397,1542,1,0,0,0
467090,691,5,2014-05-09,9360,716,1,1,0,0
103652,1073,4,2015-04-30,12344,1273,1,1,0,0
755358,174,5,2013-08-23,6018,487,1,0,0,1
582345,1101,7,2014-01-26,0,0,0,0,0,0
309164,947,3,2014-10-15,7419,1124,1,0,0,0
250080,735,3,2014-12-17,11051,835,1,1,0,0
823207,8,7,2013-06-23,0,0,0,0,0,0
773828,804,3,2013-08-07,3893,374,1,0,0,1
916371,627,1,2013-04-01,0,0,0,0,b,1
535711,182,6,2014-03-08,4969,416,1,0,0,0
151651,12,2,2015-03-17,10234,1077,1,1,0,0
706105,1096,1,2013-10-07,7936,844,1,1,0,0
493705,546,2,2014-04-15,19453,2119,1,1,0,1
913486,1087,4,2013-04-04,5083,573,1,0,0,0
484237,1113,4,2014-04-24,5645,668,1,0,0,1
507481,942,4,2014-04-03,6617,493,1,1,0,0
217336,1027,7,2015-01-18,0,0,0,0,0,0
744900,866,1,2013-09-02,4238,408,1,0,0,0
717585,311,4,2013-09-26,6181,780,1,1,0,0
992822,143,2,2013-01-22,6612,592,1,1,0,0
117037,1078,6,2015-04-18,5560,458,1,0,0,0
695745,771,3,2013-10-16,5290,605,1,0,0,0
844207,938,3,2013-06-05,9897,953,1,1,0,0
827776,117,3,2013-06-19,4126,532,1,1,0,0
200052,468,1,2015-02-02,6206,656,1,1,0,0
436716,422,4,2014-06-05,4672,446,1,1,0,0
951976,552,4,2013-02-28,6030,660,1,0,0,0
851468,394,3,2013-05-29,10830,779,1,1,0,0
839943,19,6,2013-06-08,4059,410,1,0,0,0
973803,79,5,2013-02-08,5503,575,1,1,0,0
516365,906,3,2014-03-26,7937,1051,1,0,0,0
436282,1103,5,2014-06-06,5054,402,1,1,0,0
955343,574,1,2013-02-25,5620,536,1,0,0,0
295734,536,3,2014-10-29,6325,689,1,0,0,0
589161,112,7,2014-01-19,0,0,0,0,0,0
391409,906,6,2014-07-19,8736,1095,1,0,0,0
277221,765,2,2014-11-18,7533,678,1,0,0,0
8168,364,5,2015-07-24,4640,635,1,0,0,0
683489,780,7,2013-10-27,0,0,0,0,0,0
526969,360,7,2014-03-16,0,0,0,0,0,0
703972,78,2,2013-10-08,4242,576,1,1,0,0
691223,709,7,2013-10-20,0,0,0,0,0,0
433641,692,7,2014-06-08,0,0,0,0,0,0
716314,155,5,2013-09-27,7886,701,1,1,0,0
115663,819,7,2015-04-19,0,0,0,0,0,0
260660,1079,6,2014-12-06,7467,593,1,0,0,0
838483,789,1,2013-06-10,2882,434,1,0,0,0
790010,261,2,2013-07-23,8525,717,1,0,0,1
966444,525,5,2013-02-15,9873,847,1,0,0,0
925533,869,7,2013-03-24,0,0,0,0,0,0
127623,514,3,2015-04-08,4538,552,1,0,0,1
225905,676,6,2015-01-10,4978,1109,1,0,0,0
318957,358,6,2014-10-04,10561,1164,1,0,0,0
696836,747,2,2013-10-15,6381,597,1,0,0,0
75655,951,1,2015-05-25,0,0,0,0,a,0
49101,42,3,2015-06-17,12636,1256,1,1,0,0
36647,968,1,2015-06-29,10164,1045,1,1,0,0
385348,364,5,2014-07-25,4445,642,1,0,0,0
292443,1072,7,2014-11-02,0,0,0,0,0,0
837631,1052,2,2013-06-11,5618,700,1,0,0,0
313681,760,5,2014-10-10,8204,1286,1,1,0,0
935967,153,4,2013-03-14,5307,561,1,0,0,0
413062,183,4,2014-06-26,4250,573,1,0,0,0
633052,518,3,2013-12-11,4616,446,1,0,0,0
841459,420,5,2013-06-07,4152,340,1,1,0,0
770276,597,6,2013-08-10,3984,576,1,0,0,0
941547,158,6,2013-03-09,8151,603,1,0,0,0
532237,53,2,2014-03-11,3960,507,1,0,0,0
741532,843,4,2013-09-05,7124,925,1,0,0,0
748139,760,5,2013-08-30,8041,1318,1,1,0,0
682025,431,1,2013-10-28,7369,893,1,0,0,1
601597,283,3,2014-01-08,9383,858,1,1,0,0
462076,137,2,2014-05-13,6637,840,1,0,0,0
558348,519,7,2014-02-16,0,0,0,0,0,0
672851,177,2,2013-11-05,5532,625,1,1,0,0
948988,909,7,2013-03-03,0,0,0,0,0,0
126342,348,4,2015-04-09,8031,705,1,0,0,1
754332,263,6,2013-08-24,3333,336,1,0,0,0
227522,63,4,2015-01-08,7107,600,1,1,0,0
348111,558,3,2014-09-03,3387,449,1,1,0,0
297818,796,1,2014-10-27,6581,662,1,0,0,0
315527,732,3,2014-10-08,7042,796,1,1,0,0
561318,144,4,2014-02-13,7123,753,1,0,0,0
903925,446,5,2013-04-12,5850,777,1,1,0,0
406249,763,4,2014-07-03,6663,620,1,1,0,0
48053,109,4,2015-06-18,6601,745,1,1,0,0
333990,443,4,2014-09-18,5937,522,1,1,0,0
849145,301,5,2013-05-31,6194,687,1,1,0,0
386081,121,4,2014-07-24,3230,389,1,0,0,1
286069,167,6,2014-11-08,6008,684,1,0,0,0
66135,351,2,2015-06-02,8176,567,1,1,0,0
792957,978,7,2013-07-21,0,0,0,0,0,0
199700,116,1,2015-02-02,9602,909,1,1,0,1
463611,557,1,2014-05-12,2824,534,1,0,0,0
474361,157,5,2014-05-02,13299,1306,1,1,0,0
81984,590,2,2015-05-19,5407,413,1,1,0,0
219751,97,4,2015-01-15,7392,769,1,1,0,0
844637,253,2,2013-06-04,7498,909,1,1,0,0
987528,424,7,2013-01-27,0,0,0,0,0,0
54531,1012,6,2015-06-13,5730,523,1,0,0,0
237763,535,2,2014-12-30,9205,1006,1,0,0,1
346455,818,5,2014-09-05,6219,637,1,1,0,1
19876,922,2,2015-07-14,8502,744,1,1,0,1
