,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
376,377,a,c,100.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
377,378,a,c,2140.0,8.0,2012.0,0,,,
378,379,d,a,6630.0,,,0,,,
379,380,a,a,2240.0,5.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
380,381,a,a,1800.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
381,382,c,c,26130.0,11.0,2002.0,0,,,
382,383,a,c,350.0,,,0,,,
383,384,a,c,130.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
384,385,d,a,4580.0,9.0,2007.0,0,,,
385,386,d,c,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
386,387,c,a,210.0,,,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
387,388,a,a,2260.0,,,0,,,
388,389,a,c,6690.0,8.0,2011.0,0,,,
389,390,a,c,1600.0,4.0,2009.0,0,,,
390,391,a,a,460.0,11.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
391,392,a,a,2120.0,,,0,,,
392,393,d,c,4820.0,3.0,2008.0,0,,,
393,394,d,a,10850.0,,,0,,,
394,395,a,a,3620.0,2.0,2013.0,0,,,
395,396,a,c,23130.0,,,0,,,
396,397,a,c,130.0,,,1,27.0,2013.0,"Feb,May,Aug,Nov"
397,398,c,c,1540.0,,,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
398,399,a,a,5360.0,9.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
399,400,a,a,70.0,11.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
400,401,a,c,9200.0,10.0,2009.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
401,402,c,c,5830.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
402,403,a,a,4970.0,7.0,2015.0,0,,,
403,404,a,c,1420.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
404,405,a,a,1080.0,4.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
405,406,d,c,8240.0,3.0,2001.0,1,10.0,2013.0,"Feb,May,Aug,Nov"
406,407,a,a,5890.0,10.0,2003.0,1,14.0,2011.0,"Feb,May,Aug,Nov"
407,408,c,a,1560.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
408,409,d,c,840.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
409,410,c,a,40.0,11.0,2011.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
410,411,d,c,8460.0,,,0,,,
411,412,d,c,4460.0,,,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
412,413,a,c,760.0,9.0,2014.0,0,,,
413,414,d,c,6210.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
414,415,d,c,6910.0,4.0,2005.0,0,,,
415,416,a,c,4650.0,6.0,2014.0,0,,,
416,417,a,c,840.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
417,418,a,a,1060.0,5.0,2009.0,1,27.0,2011.0,"Feb,May,Aug,Nov"
418,419,c,a,1620.0,9.0,2009.0,0,,,
419,420,d,c,250.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
420,421,c,c,3530.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
421,422,a,c,2880.0,,,0,,,
422,423,b,a,1270.0,5.0,2014.0,0,,,
423,424,d,c,1250.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
424,425,d,c,1460.0,,,0,,,
425,426,a,a,250.0,,,0,,,
426,427,a,c,70.0,7.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
427,428,d,a,2960.0,12.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
428,429,d,c,16350.0,7.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
429,430,d,c,12870.0,10.0,2008.0,0,,,
430,431,d,c,4520.0,,,0,,,
431,432,a,a,810.0,5.0,2013.0,0,,,
432,433,a,c,30030.0,11.0,2010.0,0,,,
433,434,a,a,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
434,435,a,a,910.0,,,0,,,
435,436,d,a,2300.0,,,0,,,
436,437,c,c,430.0,,,1,50.0,2010.0,"Jan,Apr,Jul,Oct"
437,438,d,c,1110.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
438,439,a,a,1350.0,9.0,2009.0,0,,,
439,440,d,a,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
440,441,d,a,2530.0,,,0,,,
441,442,c,a,500.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
442,443,d,a,11400.0,12.0,2005.0,0,,,
443,444,c,a,1700.0,11.0,2009.0,0,,,
444,445,a,a,240.0,,,0,,,
445,446,a,a,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
446,447,a,c,1510.0,9.0,2013.0,0,,,
447,448,a,c,3970.0,9.0,2009.0,0,,,
448,449,a,c,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
449,450,c,a,5780.0,11.0,1994.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
450,451,a,a,2460.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
451,452,a,c,1850.0,8.0,2013.0,1,5.0,2011.0,"Feb,May,Aug,Nov"
452,453,a,c,75860.0,,,0,,,
453,454,a,a,26450.0,,,0,,,
454,455,d,c,7660.0,9.0,2010.0,0,,,
455,456,a,c,140.0,,,0,,,
456,457,d,c,13140.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
457,458,c,a,3390.0,,,0,,,
458,459,a,a,250.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
459,460,a,a,34050.0,4.0,2008.0,0,,,
460,461,d,c,1790.0,7.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
461,462,a,a,44320.0,8.0,2008.0,0,,,
462,463,a,a,4160.0,,,0,,,
463,464,c,a,520.0,3.0,2009.0,0,,,
464,465,d,c,10890.0,4.0,2005.0,0,,,
465,466,a,c,3110.0,3.0,2003.0,0,,,
466,467,a,c,20390.0,4.0,2008.0,0,,,
467,468,c,c,5260.0,9.0,2012.0,0,,,
468,469,c,c,710.0,9.0,2005.0,0,,,
469,470,a,c,50.0,,,0,,,
470,471,d,a,5300.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
471,472,c,c,5030.0,8.0,2011.0,0,,,
472,473,a,a,50.0,,,0,,,
473,474,c,a,14810.0,,,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
474,475,a,a,140.0,9.0,2005.0,0,,,
475,476,d,a,8300.0,9.0,2006.0,0,,,
476,477,d,a,770.0,7.0,2010.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
477,478,d,c,1940.0,3.0,2012.0,0,,,
478,479,a,a,320.0,12.0,2005.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
479,480,a,a,300.0,11.0,2012.0,0,,,
480,481,c,c,7470.0,,,1,44.0,2012.0,"Feb,May,Aug,Nov"
481,482,c,a,2550.0,10.0,2005.0,0,,,
482,483,a,c,2310.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
483,484,a,c,14300.0,3.0,2011.0,0,,,
484,485,d,c,3270.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
485,486,a,a,2320.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
486,487,d,c,2180.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
487,488,a,c,2890.0,4.0,2014.0,0,,,
488,489,a,a,14960.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
489,490,a,a,660.0,4.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
490,491,d,c,4680.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
491,492,a,a,1740.0,3.0,2008.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
492,493,d,c,1150.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
493,494,b,a,1260.0,6.0,2011.0,0,,,
494,495,d,a,5470.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
495,496,d,c,2780.0,6.0,2015.0,0,,,
496,497,a,c,1610.0,,,0,,,
497,498,a,a,990.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
498,499,c,c,450.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
499,500,d,c,10690.0,9.0,2007.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
500,501,a,c,1620.0,9.0,2006.0,0,,,
501,502,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
502,503,d,c,13080.0,9.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
503,504,c,c,820.0,,,0,,,
504,505,a,a,350.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
505,506,a,a,1850.0,12.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
506,507,a,c,9070.0,4.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
507,508,a,c,1280.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
508,509,a,a,4740.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
509,510,a,c,8260.0,,,0,,,
510,511,a,a,2060.0,9.0,2009.0,0,,,
511,512,b,b,590.0,,,1,5.0,2013.0,"Mar,Jun,Sept,Dec"
512,513,a,a,400.0,8.0,2013.0,0,,,
513,514,c,c,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
514,515,d,c,11260.0,,,1,9.0,2011.0,"Feb,May,Aug,Nov"
515,516,a,c,20.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
516,517,a,c,22490.0,,,0,,,
517,518,d,c,3330.0,3.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
518,519,c,c,2510.0,8.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
519,520,a,c,6900.0,,,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
520,521,d,a,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
521,522,d,c,7160.0,11.0,2012.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
522,523,c,c,50.0,11.0,2013.0,0,,,
523,524,a,c,40860.0,9.0,2013.0,0,,,
524,525,d,c,1870.0,9.0,2013.0,0,,,
525,526,a,a,120.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
526,527,d,c,5830.0,4.0,2008.0,0,,,
527,528,a,c,20620.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
528,529,d,c,12920.0,9.0,2012.0,0,,,
529,530,a,c,18160.0,,,0,,,
530,531,a,c,4030.0,,,0,,,
531,532,a,c,1070.0,8.0,2010.0,0,,,
532,533,a,c,5950.0,,,0,,,
533,534,d,a,1200.0,9.0,2009.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
534,535,a,a,3570.0,4.0,2007.0,0,,,
535,536,a,c,4700.0,9.0,2002.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
536,537,a,a,600.0,5.0,2002.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
537,538,a,a,990.0,2.0,2010.0,0,,,
538,539,a,a,770.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
539,540,d,c,810.0,,,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
540,541,a,c,650.0,7.0,1990.0,0,,,
541,542,a,a,7280.0,9.0,2012.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
542,543,c,a,1080.0,12.0,2012.0,0,,,
543,544,a,a,250.0,12.0,2001.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
544,545,a,c,5020.0,5.0,2006.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
545,546,a,a,580.0,1.0,2005.0,0,,,
546,547,d,c,8990.0,11.0,2009.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
547,548,d,c,3760.0,2.0,2009.0,0,,,
548,549,a,c,2330.0,,,0,,,
549,550,d,c,50.0,6.0,2015.0,0,,,
550,551,a,c,2190.0,9.0,2013.0,0,,,
551,552,a,a,4260.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
552,553,c,a,3040.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
553,554,c,c,1200.0,,,0,,,
554,555,d,a,1560.0,1.0,2014.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
555,556,d,c,1140.0,11.0,2014.0,0,,,
556,557,a,a,250.0,,,0,,,
557,558,a,a,3000.0,2.0,2010.0,0,,,
558,559,d,a,3910.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
559,560,c,c,1910.0,7.0,2013.0,0,,,
560,561,d,a,14300.0,,,0,,,
561,562,b,c,1210.0,,,0,,,
562,563,a,a,700.0,3.0,2015.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
563,564,d,c,6540.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
564,565,a,c,160.0,7.0,2007.0,0,,,
565,566,a,a,3620.0,,,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
566,567,c,a,1010.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
567,568,d,c,4270.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
568,569,a,a,1340.0,9.0,2006.0,0,,,
569,570,a,a,180.0,11.0,2006.0,0,,,
570,571,d,a,2110.0,11.0,1995.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
571,572,d,c,9230.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
572,573,a,a,1190.0,11.0,2012.0,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
573,574,d,a,4400.0,,,0,,,
574,575,a,a,960.0,5.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
575,576,c,a,50.0,11.0,2006.0,0,,,
576,577,a,c,2270.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
577,578,d,a,12700.0,4.0,2013.0,0,,,
578,579,c,a,20970.0,11.0,2012.0,0,,,
579,580,a,c,170.0,2.0,2009.0,0,,,
580,581,a,a,7250.0,12.0,2013.0,0,,,
581,582,a,a,120.0,,,0,,,
582,583,a,a,2640.0,11.0,2002.0,0,,,
583,584,d,a,1360.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
584,585,d,c,440.0,4.0,2014.0,0,,,
585,586,a,c,250.0,10.0,2008.0,0,,,
586,587,d,c,330.0,9.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
587,588,d,c,15720.0,3.0,2010.0,0,,,
588,589,a,c,360.0,,,1,18.0,2013.0,"Feb,May,Aug,Nov"
589,590,d,c,4520.0,9.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
590,591,a,c,3340.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
591,592,a,a,2540.0,6.0,2005.0,0,,,
592,593,a,c,33060.0,3.0,2010.0,0,,,
593,594,a,a,1790.0,10.0,2011.0,0,,,
594,595,c,c,1130.0,6.0,2015.0,0,,,
595,596,c,a,290.0,9.0,2006.0,0,,,
596,597,a,a,150.0,9.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
597,598,c,a,550.0,12.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
598,599,d,c,580.0,11.0,2014.0,0,,,
599,600,d,c,17340.0,6.0,2010.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
600,601,d,a,8220.0,4.0,2014.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
601,602,a,a,2710.0,7.0,2001.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
602,603,a,a,340.0,4.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
603,604,d,a,10950.0,3.0,2014.0,0,,,
604,605,d,a,10310.0,4.0,2003.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
605,606,a,a,2260.0,11.0,2007.0,0,,,
606,607,a,a,350.0,8.0,1999.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
607,608,a,c,18370.0,2.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
608,609,a,a,2070.0,9.0,2007.0,0,,,
609,610,a,a,660.0,1.0,2007.0,0,,,
610,611,a,a,8080.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
611,612,d,c,2490.0,11.0,2012.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
612,613,c,a,250.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
613,614,a,a,1160.0,12.0,2012.0,0,,,
614,615,d,a,730.0,8.0,2007.0,0,,,
615,616,a,c,3040.0,8.0,2011.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
616,617,a,c,8940.0,,,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
617,618,d,c,9910.0,,,0,,,
618,619,a,a,1600.0,6.0,2006.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
619,620,d,c,5440.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
620,621,a,a,30.0,7.0,2002.0,0,,,
621,622,a,c,,,,0,,,
622,623,a,a,4080.0,3.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
623,624,a,c,6920.0,9.0,2011.0,0,,,
624,625,a,a,1170.0,4.0,2011.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
625,626,c,c,10740.0,11.0,2013.0,0,,,
626,627,c,c,3970.0,3.0,2010.0,0,,,
627,628,a,c,2180.0,,,0,,,
628,629,d,a,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
629,630,a,a,1690.0,4.0,2015.0,0,,,
630,631,d,c,2870.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
631,632,a,a,3350.0,2.0,2010.0,0,,,
632,633,d,a,11640.0,4.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
633,634,d,a,18610.0,,,0,,,
634,635,a,a,27530.0,4.0,2014.0,0,,,
635,636,c,a,720.0,10.0,2004.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
636,637,d,c,9790.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
637,638,d,a,10170.0,11.0,2001.0,0,,,
638,639,a,a,7780.0,11.0,2006.0,0,,,
639,640,d,c,8040.0,,,0,,,
640,641,a,c,610.0,12.0,2003.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
641,642,c,c,530.0,4.0,2005.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
642,643,a,a,230.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
643,644,c,a,4030.0,12.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
644,645,a,a,90.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
645,646,a,a,620.0,9.0,2014.0,0,,,
646,647,a,c,7420.0,4.0,2013.0,0,,,
647,648,d,a,2130.0,12.0,2008.0,0,,,
648,649,a,a,14570.0,11.0,2002.0,0,,,
649,650,a,a,1420.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
650,651,a,a,200.0,,,0,,,
651,652,a,a,20390.0,,,0,,,
652,653,d,c,7520.0,7.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
653,654,c,a,6930.0,9.0,2006.0,0,,,
654,655,d,c,960.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
655,656,d,a,410.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
656,657,c,c,80.0,1.0,2006.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
657,658,d,c,520.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
658,659,d,a,1590.0,3.0,2012.0,0,,,
659,660,a,a,1200.0,11.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
660,661,d,c,2140.0,7.0,2013.0,0,,,
661,662,d,a,1070.0,,,0,,,
662,663,a,c,7860.0,5.0,2005.0,0,,,
663,664,d,c,1680.0,10.0,2005.0,0,,,
664,665,a,a,90.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
665,666,c,c,2700.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
666,667,d,c,2870.0,9.0,2012.0,0,,,
667,668,c,a,1270.0,9.0,2010.0,0,,,
668,669,d,a,17080.0,7.0,2012.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
669,670,a,a,2060.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
670,671,a,c,2070.0,2.0,2008.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
671,672,c,a,240.0,9.0,2002.0,0,,,
672,673,d,c,15170.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
673,674,a,a,2640.0,12.0,2005.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
674,675,a,a,2100.0,8.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
675,676,b,b,1410.0,9.0,2008.0,0,,,
676,677,d,a,1740.0,6.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
677,678,c,a,3250.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
678,679,a,a,4140.0,9.0,2012.0,0,,,
679,680,c,a,170.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
680,681,a,c,620.0,,,1,1.0,2014.0,"Mar,Jun,Sept,Dec"
681,682,b,a,150.0,9.0,2006.0,0,,,
682,683,a,a,2850.0,7.0,2014.0,0,,,
683,684,d,c,680.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
684,685,a,a,650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
685,686,a,a,20050.0,4.0,2002.0,0,,,
686,687,d,c,2770.0,,,0,,,
687,688,a,a,18760.0,8.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
688,689,d,a,15040.0,10.0,2004.0,0,,,
689,690,a,a,100.0,,,0,,,
690,691,d,c,3030.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
691,692,a,a,40.0,8.0,2001.0,0,,,
692,693,d,a,450.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
693,694,a,c,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
694,695,a,a,550.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
695,696,a,c,430.0,,,0,,,
696,697,d,a,3780.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
697,698,a,a,1790.0,5.0,2011.0,0,,,
698,699,a,a,180.0,,,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
699,700,a,c,830.0,,,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
700,701,d,a,1450.0,3.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
701,702,a,a,8550.0,9.0,2001.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
702,703,a,a,80.0,6.0,2005.0,0,,,
703,704,d,c,1910.0,4.0,2009.0,0,,,
704,705,a,a,4140.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
705,706,d,a,7830.0,9.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
706,707,a,c,2900.0,7.0,1990.0,0,,,
707,708,c,c,11470.0,10.0,2009.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
708,709,a,a,500.0,12.0,2010.0,0,,,
709,710,d,a,1500.0,9.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
710,711,d,a,17110.0,3.0,2007.0,1,5.0,2010.0,"Jan,Apr,Jul,Oct"
711,712,a,a,4870.0,9.0,2007.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
712,713,a,c,220.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
713,714,d,c,12070.0,10.0,2005.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
714,715,a,a,14810.0,6.0,2014.0,0,,,
715,716,d,a,3200.0,1.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
716,717,d,c,310.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
717,718,a,a,1100.0,6.0,2015.0,0,,,
718,719,c,c,8190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
719,720,a,c,15320.0,3.0,2011.0,1,14.0,2013.0,"Feb,May,Aug,Nov"
720,721,a,c,3590.0,9.0,2012.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
721,722,a,a,50.0,,,0,,,
722,723,d,c,5650.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
723,724,d,c,5900.0,,,0,,,
724,725,d,c,17540.0,6.0,2012.0,0,,,
725,726,a,c,40540.0,2.0,2002.0,0,,,
726,727,a,a,2050.0,3.0,2007.0,0,,,
727,728,d,a,13990.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
728,729,c,c,8980.0,6.0,2011.0,0,,,
729,730,c,a,1190.0,9.0,2013.0,0,,,
730,731,a,a,15270.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
731,732,a,c,35280.0,,,0,,,
732,733,b,b,860.0,10.0,1999.0,0,,,
733,734,a,a,220.0,,,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
734,735,d,c,1920.0,4.0,2005.0,0,,,
735,736,c,c,1650.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
736,737,a,a,100.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
737,738,d,c,5980.0,10.0,2005.0,0,,,
738,739,d,c,2770.0,6.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
739,740,d,a,6400.0,3.0,2014.0,0,,,
740,741,d,c,11900.0,,,0,,,
741,742,d,c,4380.0,,,0,,,
742,743,a,a,6710.0,11.0,2003.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
743,744,a,a,1370.0,12.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
744,745,a,a,17650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
745,746,d,c,4330.0,2.0,2011.0,1,35.0,2011.0,"Mar,Jun,Sept,Dec"
746,747,c,c,45740.0,8.0,2008.0,0,,,
747,748,d,a,2380.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
748,749,a,a,3410.0,8.0,2011.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
749,750,d,a,8670.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
750,751,a,a,650.0,10.0,2006.0,0,,,
751,752,a,a,970.0,3.0,2013.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
752,753,d,c,540.0,11.0,2012.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
753,754,c,c,380.0,5.0,2008.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
754,755,d,c,13130.0,12.0,2003.0,0,,,
