,QuoteNumber,Original_Quote_Date,QuoteConversion_Flag,Field6,Field7,Field8,Field9,Field10,Field11,Field12,CoverageField1A,CoverageField1B,CoverageField2A,CoverageField2B,CoverageField3A,CoverageField3B,CoverageField4A,CoverageField4B,CoverageField5A,CoverageField5B,CoverageField6A,CoverageField6B,CoverageField8,CoverageField9,CoverageField11A,CoverageField11B,SalesField1A,SalesField1B,SalesField2A,SalesField2B,SalesField3,SalesField4,SalesField5,SalesField6,SalesField7,SalesField8,SalesField9,SalesField10,SalesField11,SalesField12,SalesField13,SalesField14,SalesField15,PersonalField1,PersonalField2,PersonalField4A,PersonalField4B,PersonalField5,PersonalField6,PersonalField7,PersonalField8,PersonalField9,PersonalField10A,PersonalField10B,PersonalField11,PersonalField12,PersonalField13,PersonalField14,PersonalField15,PersonalField16,PersonalField17,PersonalField18,PersonalField19,PersonalField22,PersonalField23,PersonalField24,PersonalField25,PersonalField26,PersonalField27,PersonalField28,PersonalField29,PersonalField30,PersonalField31,PersonalField32,PersonalField33,PersonalField34,PersonalField35,PersonalField36,PersonalField37,PersonalField38,PersonalField39,PersonalField40,PersonalField41,PersonalField42,PersonalField43,PersonalField44,PersonalField45,PersonalField46,PersonalField47,PersonalField48,PersonalField49,PersonalField50,PersonalField51,PersonalField52,PersonalField53,PersonalField54,PersonalField55,PersonalField56,PersonalField57,PersonalField58,PersonalField59,PersonalField60,PersonalField61,PersonalField62,PersonalField63,PersonalField64,PersonalField65,PersonalField66,PersonalField67,PersonalField68,PersonalField69,PersonalField70,PersonalField71,PersonalField72,PersonalField73,PersonalField74,PersonalField75,PersonalField76,PersonalField77,PersonalField78,PersonalField79,PersonalField80,PersonalField81,PersonalField82,PersonalField83,PersonalField84,PropertyField1A,PropertyField1B,PropertyField2A,PropertyField2B,PropertyField3,PropertyField4,PropertyField5,PropertyField6,PropertyField7,PropertyField8,PropertyField9,PropertyField10,PropertyField11A,PropertyField11B,PropertyField12,PropertyField13,PropertyField14,PropertyField15,PropertyField16A,PropertyField16B,PropertyField17,PropertyField18,PropertyField19,PropertyField20,PropertyField21A,PropertyField21B,PropertyField22,PropertyField23,PropertyField24A,PropertyField24B,PropertyField25,PropertyField26A,PropertyField26B,PropertyField27,PropertyField28,PropertyField29,PropertyField30,PropertyField31,PropertyField32,PropertyField33,PropertyField34,PropertyField35,PropertyField36,PropertyField37,PropertyField38,PropertyField39A,PropertyField39B,GeographicField1A,GeographicField1B,GeographicField2A,GeographicField2B,GeographicField3A,GeographicField3B,GeographicField4A,GeographicField4B,GeographicField5A,GeographicField5B,GeographicField6A,GeographicField6B,GeographicField7A,GeographicField7B,GeographicField8A,GeographicField8B,GeographicField9A,GeographicField9B,GeographicField10A,GeographicField10B,GeographicField11A,GeographicField11B,GeographicField12A,GeographicField12B,GeographicField13A,GeographicField13B,GeographicField14A,GeographicField14B,GeographicField15A,GeographicField15B,GeographicField16A,GeographicField16B,GeographicField17A,GeographicField17B,GeographicField18A,GeographicField18B,GeographicField19A,GeographicField19B,GeographicField20A,GeographicField20B,GeographicField21A,GeographicField21B,GeographicField22A,GeographicField22B,GeographicField23A,GeographicField23B,GeographicField24A,GeographicField24B,GeographicField25A,GeographicField25B,GeographicField26A,GeographicField26B,GeographicField27A,GeographicField27B,GeographicField28A,GeographicField28B,GeographicField29A,GeographicField29B,GeographicField30A,GeographicField30B,GeographicField31A,GeographicField31B,GeographicField32A,GeographicField32B,GeographicField33A,GeographicField33B,GeographicField34A,GeographicField34B,GeographicField35A,GeographicField35B,GeographicField36A,GeographicField36B,GeographicField37A,GeographicField37B,GeographicField38A,GeographicField38B,GeographicField39A,GeographicField39B,GeographicField40A,GeographicField40B,GeographicField41A,GeographicField41B,GeographicField42A,GeographicField42B,GeographicField43A,GeographicField43B,GeographicField44A,GeographicField44B,GeographicField45A,GeographicField45B,GeographicField46A,GeographicField46B,GeographicField47A,GeographicField47B,GeographicField48A,GeographicField48B,GeographicField49A,GeographicField49B,GeographicField50A,GeographicField50B,GeographicField51A,GeographicField51B,GeographicField52A,GeographicField52B,GeographicField53A,GeographicField53B,GeographicField54A,GeographicField54B,GeographicField55A,GeographicField55B,GeographicField56A,GeographicField56B,GeographicField57A,GeographicField57B,GeographicField58A,GeographicField58B,GeographicField59A,GeographicField59B,GeographicField60A,GeographicField60B,GeographicField61A,GeographicField61B,GeographicField62A,GeographicField62B,GeographicField63,GeographicField64
168061,280071,2013-09-12,0,B,23,0.9403,0.0006,965,1.02,N,13,21,13,21,12,19,12,20,13,22,13,23,T,D,2,2,4,12,2,4,1,5,5,21,Q,62216,0,0,0,0,0,0,0,0,0,-1,-1,6,1,N,1,3,-1,-1,0,5,2,4,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,6,9,-1,23,N,N,Y,0,O,0,0,1,-1,21,4,2,C,4,5,11,1,2,1,0,13,21,2,2,7,9,3.0,2,1,4,B,0.0,N,K,Y,G,Y,2,N,Y,N,2,1,8,16,6,3,6,6,16,17,-1,13,2,8,2,3,2,4,2,6,-1,25,2,8,2,4,2,4,-1,7,3,3,2,3,12,22,-1,18,2,2,2,4,-1,4,-1,15,-1,2,13,8,16,15,16,20,15,11,8,13,6,6,3,2,6,7,25,25,11,18,4,3,7,12,6,6,5,12,12,20,9,18,2,3,2,2,5,4,8,7,10,9,2,1,9,5,21,23,8,5,9,3,1,1,19,22,17,19,8,3,25,25,18,24,-1,23,15,15,17,21,6,5,-1,4,-1,24,-1,19,N,CA
260109,433484,2015-05-11,0,C,17,0.8746,0.0006,"1,487",1.3045,Y,18,23,18,23,16,22,25,25,13,22,13,23,Y,A,4,6,5,16,2,4,1,5,5,11,T,40456,0,0,0,0,0,0,0,1,1,21,24,7,0,N,1,2,7,16,0,1,2,2,11,XO,YY,XY,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,13,18,-1,3,N,N,Y,0,R,1,0,1,25,25,1,2,C,4,11,20,1,2,1,0,18,23,2,1,19,23,2.0,13,18,4,B,,Y,K,N,E,N,0,N,N,N,9,9,5,11,21,22,17,19,11,10,-1,13,9,17,11,16,9,17,19,21,-1,25,9,17,12,16,9,17,-1,18,9,8,8,17,2,8,-1,18,18,17,4,12,-1,23,-1,24,-1,16,16,15,17,17,10,13,21,20,9,16,9,12,8,15,5,5,10,16,10,16,17,22,11,19,10,15,8,17,12,19,7,14,11,19,18,17,19,24,9,11,22,23,9,9,19,20,6,7,22,22,23,24,23,23,10,9,11,9,21,20,3,1,6,12,-1,5,15,17,14,18,16,21,-1,21,-1,18,-1,8,N,IL
259206,431990,2014-03-06,0,J,26,0.8922,0.0004,"1,113",1.2665,N,7,11,7,11,6,9,6,10,13,22,25,25,T,A,4,7,5,15,6,18,0,5,5,20,Q,56740,0,0,0,0,0,0,0,1,1,22,24,7,0,N,1,2,7,14,0,1,2,1,8,ZW,XE,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,4,6,-1,17,N,N,Y,0,S,1,0,1,-1,21,4,2,C,4,3,6,0,2,0,0,7,11,2,1,9,14,1.0,16,22,10,B,,N,O,N,G,N,0,N,N,N,15,18,2,4,4,2,16,19,22,24,-1,23,18,23,25,25,19,23,21,23,-1,25,19,23,24,24,19,23,-1,23,25,25,16,23,2,1,-1,8,14,15,2,5,-1,4,-1,15,25,25,16,14,11,6,6,7,13,7,6,8,3,2,5,6,12,19,8,12,5,5,4,3,2,1,7,8,4,8,5,5,2,2,9,14,8,6,18,23,3,4,7,3,11,15,13,15,9,17,5,3,16,12,14,10,13,13,12,11,11,5,20,22,8,16,-1,18,5,2,16,21,1,1,-1,8,-1,2,-1,8,N,TX
195576,325925,2014-02-27,0,B,25,0.9403,0.0007,935,1.02,N,9,16,9,16,8,14,9,15,13,22,25,25,T,D,3,4,1,1,1,1,1,5,5,11,Q,18988,0,0,0,0,0,0,0,1,1,4,4,7,0,N,1,3,-1,-1,0,5,2,2,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,1,1,-1,2,N,N,Y,0,R,1,0,1,-1,21,4,2,C,1,18,24,0,4,0,0,9,16,2,1,10,16,3.0,3,3,14,A,,N,O,Y,H,N,1,N,Y,N,11,12,5,11,15,15,12,13,17,20,-1,13,2,5,1,1,1,1,2,9,-1,25,1,1,1,1,1,1,-1,7,1,2,1,2,19,24,-1,24,3,6,4,12,-1,6,-1,15,-1,6,14,9,16,16,15,18,17,16,12,19,20,24,8,14,16,23,4,3,11,18,7,6,4,4,6,5,13,22,3,2,4,6,3,5,13,8,10,12,2,1,9,6,20,22,10,8,6,5,15,13,19,17,16,13,11,10,11,9,13,7,20,22,13,21,-1,16,11,9,2,1,8,7,-1,14,-1,16,-1,11,N,CA
187189,312064,2014-08-21,0,B,25,0.9153,0.0007,935,1.02,N,8,14,8,14,7,12,8,13,13,22,13,23,X,D,20,24,4,10,3,10,1,5,5,11,P,24646,0,0,0,0,0,0,0,1,1,8,11,7,0,N,1,3,-1,-1,0,5,2,4,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,2.0,3,2,-1,9,N,N,Y,0,O,1,0,1,-1,21,4,2,C,4,6,13,0,2,0,0,8,14,2,9,9,13,1.0,16,21,10,B,,N,K,Y,E,Y,1,N,Y,N,11,12,2,2,5,3,3,3,25,25,-1,13,2,7,4,6,2,6,2,5,-1,25,2,7,3,6,2,6,-1,7,6,5,2,5,6,20,-1,2,1,1,1,1,-1,11,-1,15,-1,6,21,22,25,25,25,25,23,23,17,23,14,21,3,3,5,5,3,3,8,12,7,6,6,8,4,3,6,14,4,4,6,12,2,2,7,6,3,2,10,12,13,13,5,6,11,12,25,25,8,5,11,4,3,2,18,20,16,17,9,4,22,24,15,22,-1,21,14,14,15,20,1,1,-1,1,-1,23,-1,19,N,CA
6175,10289,2014-03-17,0,F,11,0.9566,0.004,548,1.1886,N,4,5,4,5,4,4,4,5,13,22,13,23,T,E,6,11,2,2,3,8,1,5,5,11,V,41817,0,2,2,2,1,1,1,1,1,2,2,7,0,N,1,2,17,22,0,1,2,1,10,XQ,ZF,XF,YF,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,15,19,-1,13,N,N,Y,0,R,1,0,1,-1,22,1,0,B,4,5,9,0,1,1,0,4,5,2,4,2,1,2.0,1,1,4,B,,N,M,Y,F,Y,2,N,N,N,6,4,12,22,17,18,14,17,11,10,-1,21,4,12,10,14,5,13,6,14,-1,25,4,11,9,15,5,12,-1,12,10,16,6,14,2,13,-1,9,19,18,17,20,-1,19,-1,19,-1,11,13,6,10,6,6,6,13,5,6,10,3,2,14,23,10,15,5,7,4,3,11,13,4,5,13,20,3,4,11,18,25,25,11,17,24,22,13,17,12,19,23,24,11,17,21,23,7,12,20,20,17,13,21,21,10,8,9,8,16,11,11,8,4,8,-1,2,16,18,16,21,8,8,-1,20,-1,7,-1,11,N,NJ
63148,105158,2013-01-17,1,B,6,0.9219,0.0006,965,1.0,N,5,6,5,6,7,12,5,6,13,22,1,6,Y,E,11,20,2,2,3,8,1,4,3,14,P,3606,0,0,0,0,0,0,0,1,0,7,8,7,0,N,1,2,7,16,0,1,2,2,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,2.0,16,20,-1,3,N,N,Y,0,D,1,0,1,-1,21,4,2,C,4,7,16,1,2,0,0,5,6,2,1,5,5,1.0,10,14,10,B,,N,K,Y,E,Y,2,N,Y,N,11,12,14,23,14,13,11,12,11,9,-1,13,2,4,7,8,2,8,2,3,-1,25,2,5,5,8,2,7,-1,9,9,11,3,8,17,24,-1,22,2,4,3,7,-1,8,-1,15,-1,2,13,8,14,11,11,16,14,9,6,8,9,12,6,7,15,22,12,19,12,18,3,2,15,23,8,10,18,24,8,12,7,13,3,7,2,3,4,2,9,8,12,12,2,4,10,10,21,23,14,12,16,12,14,10,12,11,12,11,16,11,17,18,8,16,-1,12,12,10,15,20,11,12,-1,12,-1,16,-1,14,N,CA
1508,2516,2013-08-27,0,J,10,0.9691,0.0004,"1,165",1.2665,N,1,1,1,1,2,2,1,1,13,22,1,6,Y,F,22,25,6,17,16,24,1,4,3,21,P,56556,0,0,0,0,0,0,0,1,1,5,6,7,0,N,1,2,4,3,0,3,2,5,11,XH,ZF,XZ,ZQ,1,0,0,0,0,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,2.0,5,8,-1,2,N,N,Y,0,D,1,0,1,-1,21,4,1,C,2,2,1,0,1,1,0,1,1,2,1,3,2,1.0,7,9,10,B,,N,O,Y,H,Y,2,N,N,N,23,24,5,12,1,1,1,1,12,12,-1,20,11,19,25,25,13,19,13,17,-1,25,12,20,25,25,14,20,-1,16,25,25,10,19,2,3,-1,2,7,9,2,3,-1,4,-1,15,-1,20,19,21,14,11,9,11,16,14,8,13,1,1,5,5,2,2,6,8,1,1,10,11,1,1,5,4,8,19,4,4,1,1,25,25,8,6,22,24,3,3,10,10,12,21,13,15,9,17,1,1,22,22,24,24,2,1,2,1,9,4,1,1,12,20,-1,14,5,2,20,24,6,4,-1,2,-1,16,-1,24,N,TX
64401,107184,2014-05-27,0,F,7,1.0006,0.004,548,1.2433,N,1,1,1,1,1,1,1,1,13,22,13,23,T,E,10,19,1,1,4,15,1,5,5,11,P,31371,0,1,1,1,0,0,0,1,1,5,5,6,1,N,1,2,8,17,0,1,2,1,5,XR,YY,ZQ,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,25,25,-1,12,N,N,Y,0,R,1,0,1,-1,21,2,0,B,2,2,2,0,1,0,0,1,1,2,1,1,1,1.0,4,4,10,B,,N,N,Y,G,Y,2,N,N,N,12,14,2,4,12,10,7,7,7,4,-1,19,5,16,10,15,5,16,7,16,-1,25,4,12,9,14,5,14,-1,16,11,17,7,16,2,13,-1,17,25,25,25,25,-1,18,-1,17,-1,19,22,23,12,8,8,11,14,8,5,7,3,2,12,21,3,2,6,8,2,1,11,12,21,24,16,23,3,6,10,16,13,22,12,22,22,19,10,12,8,8,14,15,6,6,16,17,5,3,12,9,6,2,2,1,13,12,11,10,9,4,15,15,14,22,-1,13,22,24,10,11,15,18,-1,4,-1,20,-1,24,N,NJ
237814,396445,2013-04-18,0,B,19,0.9403,0.0006,965,1.02,N,13,20,13,21,17,23,12,20,13,22,1,6,Y,E,5,10,3,9,2,2,1,4,3,15,Q,48399,0,0,0,0,0,0,0,0,0,12,15,7,0,N,1,2,24,25,0,1,2,6,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,1,1,-1,3,N,N,Y,0,O,1,0,1,-1,21,4,2,C,4,7,15,0,2,1,0,12,19,2,2,18,23,2.0,12,18,4,B,,N,O,Y,H,Y,2,Y,N,N,17,21,5,11,7,4,12,14,25,25,-1,13,2,8,2,3,2,4,2,6,-1,25,2,8,2,4,2,4,-1,7,3,3,2,3,4,19,-1,13,2,3,3,6,-1,4,-1,15,-1,2,13,8,16,15,16,20,15,11,4,3,7,7,6,8,10,16,8,13,13,19,5,3,3,2,8,11,2,3,7,10,9,17,3,8,2,2,6,5,10,11,15,16,3,5,10,7,21,23,7,4,11,4,5,2,13,12,11,10,6,2,22,23,18,24,-1,23,10,7,10,11,4,3,-1,16,-1,24,-1,12,N,CA
257560,429174,2015-03-30,0,F,22,1.0101,0.004,548,1.2694,N,3,3,3,3,3,2,3,2,13,22,13,23,Y,G,15,23,3,7,5,17,1,5,5,11,K,50951,0,0,0,0,0,0,0,1,1,9,12,6,1,N,1,2,19,23,0,1,2,3,5,ZF,YY,ZK,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,11,15,-1,18,Y,Y,Y,0,H,1,0,1,-1,21,2,0,B,2,4,6,1,1,1,0,3,3,2,1,5,6,1.0,11,15,10,B,,N,O,Y,G,Y,2,N,N,N,19,23,9,18,11,10,12,13,9,7,-1,22,4,11,10,16,5,13,5,10,-1,25,4,10,10,16,4,10,-1,16,11,19,6,15,2,8,-1,12,22,22,24,25,-1,16,-1,17,-1,14,14,8,10,4,6,7,12,4,1,1,6,7,5,5,2,1,7,11,9,14,3,2,9,17,6,6,4,8,5,5,4,5,8,13,24,22,10,12,11,15,19,20,10,14,17,19,7,13,14,12,9,3,9,5,17,18,16,16,12,6,16,16,8,16,-1,12,12,10,8,7,17,21,-1,15,-1,22,-1,9,N,NJ
46302,76893,2015-03-18,0,F,22,1.0101,0.004,548,1.2694,N,10,16,10,17,9,14,9,16,13,22,13,23,Y,E,7,14,3,6,2,3,1,5,5,11,T,50688,0,0,1,1,0,0,0,1,1,5,5,7,0,N,1,3,-1,-1,0,5,2,3,6,XR,ZQ,ZW,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,3,4,-1,13,N,N,Y,0,R,1,0,1,-1,23,1,1,C,1,12,21,1,2,2,0,10,16,2,1,11,17,2.0,7,9,4,B,,N,N,Y,G,Y,2,Y,Y,N,11,13,9,19,20,22,25,25,13,14,-1,18,4,13,9,13,5,13,5,12,-1,25,4,15,8,13,5,14,-1,13,9,11,5,12,2,15,-1,22,20,20,18,20,-1,20,-1,20,-1,11,16,13,12,8,8,11,14,8,5,5,5,4,6,9,5,5,12,20,8,13,13,16,9,15,8,10,6,15,13,20,25,25,12,20,24,23,8,8,11,15,15,17,10,13,21,23,7,11,20,20,13,7,18,18,8,6,8,6,19,16,6,3,7,15,-1,2,7,4,5,3,13,15,-1,22,-1,14,-1,8,N,NJ
100935,168258,2015-02-17,0,F,22,0.9893,0.004,548,1.2433,N,4,6,5,6,7,11,4,5,25,25,25,25,T,J,5,11,4,12,6,18,1,1,2,20,P,22559,0,0,0,0,0,0,0,1,1,14,18,7,0,N,1,2,12,20,0,1,2,3,16,XO,YF,ZH,ZQ,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,17,22,-1,15,N,N,Y,0,O,0,0,1,-1,21,1,1,C,9,5,10,0,1,0,0,4,6,2,1,5,5,1.0,10,14,3,B,,N,O,Y,H,Y,2,N,N,N,12,13,6,13,21,22,11,13,5,3,-1,17,5,14,10,14,5,15,6,16,-1,25,4,15,9,14,5,15,-1,15,10,14,6,15,2,14,-1,17,24,25,24,25,-1,18,-1,22,-1,14,25,25,14,12,10,13,17,16,4,4,4,3,10,18,4,4,6,10,5,5,9,9,12,20,10,14,2,2,9,15,9,17,10,17,23,21,11,13,10,14,18,19,11,15,18,20,6,11,21,22,20,19,20,21,13,12,13,13,20,18,15,14,4,8,-1,7,11,8,6,5,18,22,-1,21,-1,20,-1,8,N,NJ
257955,429858,2013-07-16,0,B,24,0.9403,0.0006,965,1.02,N,9,15,9,16,8,13,9,15,13,22,13,23,T,D,3,5,6,16,5,16,1,5,5,17,P,63369,0,0,0,0,0,0,0,1,1,6,8,7,0,N,1,2,5,8,0,1,2,6,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,22,24,-1,8,N,N,Y,0,D,0,0,1,-1,21,4,1,C,4,11,20,1,2,0,0,9,15,2,10,7,10,1.0,13,19,10,B,,N,N,Y,G,Y,1,N,N,N,7,5,25,25,16,16,3,2,5,3,-1,13,2,6,4,6,2,6,2,8,-1,25,2,4,3,5,2,5,-1,7,6,6,2,6,13,22,25,25,4,9,7,17,-1,9,-1,15,-1,7,20,21,22,23,24,25,19,18,7,11,19,24,16,24,16,23,3,3,4,4,13,17,19,24,14,22,8,17,5,5,19,24,3,5,14,11,7,6,2,2,9,7,22,24,9,4,6,5,13,10,20,20,22,23,6,4,6,4,17,12,11,8,10,18,-1,8,24,25,15,20,12,15,-1,3,-1,22,-1,15,N,CA
173737,289505,2015-03-06,0,F,22,1.0101,0.004,548,1.2694,N,6,10,6,10,6,8,6,10,13,22,13,23,Y,E,9,18,2,2,2,4,1,5,5,11,V,45598,0,0,1,1,0,0,0,1,1,8,10,7,0,N,1,2,6,11,0,1,2,3,8,ZC,XV,YP,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,13,17,-1,8,N,N,Y,0,R,0,0,1,-1,21,4,2,C,4,7,16,1,2,0,0,6,10,2,1,8,11,1.0,14,20,13,B,,Y,O,Y,G,Y,2,N,N,N,13,15,2,3,20,21,13,15,12,12,-1,15,5,15,8,10,5,14,6,15,-1,25,4,16,8,10,5,16,-1,14,9,8,5,13,2,9,-1,6,22,23,19,21,-1,21,-1,23,-1,15,10,3,8,3,5,3,10,3,4,3,4,3,7,10,12,19,7,12,8,12,14,19,5,6,12,19,5,11,12,19,8,15,10,15,23,21,13,16,10,14,20,21,11,14,19,20,6,6,20,20,17,14,20,19,17,18,17,18,19,17,11,8,4,7,-1,5,15,17,5,3,14,18,-1,13,-1,10,-1,9,N,NJ
1980,3329,2013-05-02,0,B,23,0.9403,0.0006,965,1.02,N,23,25,23,25,20,24,21,24,13,22,13,23,T,D,1,1,9,20,3,8,1,5,5,1,Q,9951,0,0,0,0,0,0,0,1,1,10,13,6,1,N,1,2,25,25,0,1,2,5,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,12,16,25,25,N,N,Y,0,O,0,0,1,-1,21,2,2,C,4,18,24,0,2,1,0,23,25,2,1,19,23,1.0,25,25,4,B,0.0,N,N,Y,G,Y,2,N,N,N,5,3,6,13,20,21,15,17,6,4,-1,13,2,6,4,6,2,6,2,8,-1,25,2,4,3,5,2,5,-1,7,6,6,2,6,25,25,25,25,4,7,5,15,-1,9,-1,15,-1,7,17,16,19,22,16,19,21,20,16,23,20,24,8,13,13,20,6,9,8,12,15,20,9,15,9,13,10,21,10,15,7,14,3,6,14,11,6,6,4,5,9,7,21,23,9,4,9,18,18,16,19,17,20,20,12,11,12,12,18,14,16,17,8,16,-1,16,4,2,9,9,21,24,-1,16,-1,20,-1,12,N,CA
218355,363997,2015-05-18,0,F,22,1.0101,0.004,548,1.2694,N,4,5,4,5,7,11,4,5,13,22,13,23,Y,E,12,21,2,2,3,8,1,5,5,11,K,22957,0,1,1,1,1,1,1,1,1,4,4,7,0,N,1,2,14,21,0,1,2,3,9,XM,ZF,YF,XC,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,16,20,-1,20,N,N,Y,0,N,0,0,1,-1,21,3,1,C,8,5,11,0,1,1,0,4,5,2,1,2,2,1.0,7,8,10,B,,N,O,Y,G,Y,2,N,N,N,6,5,13,22,17,17,16,19,10,8,-1,16,4,13,9,13,5,13,5,12,-1,25,4,15,8,13,5,14,-1,13,9,11,5,12,2,15,-1,11,21,20,18,20,-1,21,-1,22,-1,13,10,3,8,3,5,3,10,3,5,6,10,15,10,18,6,6,7,12,5,6,19,23,7,12,12,19,14,23,13,21,25,25,12,20,24,23,13,17,10,14,22,23,11,17,21,23,6,9,19,18,15,10,19,18,14,13,13,12,12,6,12,10,11,19,-1,17,16,18,18,23,8,8,-1,15,-1,16,-1,11,N,NJ
87176,145273,2014-01-16,0,B,25,0.9403,0.0007,935,1.02,N,9,16,9,16,8,14,9,15,13,22,1,6,Y,E,7,14,3,10,3,7,1,4,3,20,Q,6441,0,0,0,0,0,0,0,0,0,13,18,6,1,N,1,2,5,7,0,1,2,5,24,ZA,ZE,XR,XD,1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,2.0,9,12,-1,24,Y,Y,Y,0,D,1,0,1,-1,21,4,2,C,4,12,21,1,2,0,0,9,16,2,1,11,17,1.0,19,23,10,B,,N,O,Y,H,Y,1,N,N,Y,12,15,5,11,7,5,5,5,17,19,-1,13,2,6,3,4,2,4,2,9,-1,25,2,3,2,3,2,2,-1,7,4,4,2,4,5,20,-1,13,3,5,4,10,-1,11,-1,15,-1,7,13,7,16,16,13,17,17,17,18,23,13,20,5,6,8,10,9,16,13,20,15,20,5,7,8,9,7,17,5,4,6,10,2,2,14,11,9,10,2,2,9,7,24,24,10,7,6,10,7,4,11,5,7,3,18,20,16,16,6,2,25,25,18,24,-1,24,8,5,21,24,6,5,-1,4,-1,17,-1,8,N,CA
